Count,Hole Size,Plated,Hole Shape,Drill Layer Pair,Hole Type
6,0.20mm (7.87mils),PTH,Round,"L1 (Sig, PWR) - L6 (Sig, PWR)",Pad
27,0.25mm (9.84mils),PTH,Round,"L1 (Sig, PWR) - L6 (Sig, PWR)",Via
32,0.50mm (19.69mils),PTH,Round,"L1 (Sig, PWR) - L6 (Sig, PWR)",Pad
7,0.95mm (37.40mils),PTH,Round,"L1 (Sig, PWR) - L6 (Sig, PWR)",Pad
16,1.10mm (43.31mils),PTH,Round,"L1 (Sig, PWR) - L6 (Sig, PWR)",Pad
8,1.20mm (47.24mils),PTH,Round,"L1 (Sig, PWR) - L6 (Sig, PWR)",Pad
4,3.20mm (125.98mils),PTH,Round,"L1 (Sig, PWR) - L6 (Sig, PWR)",Pad
Total 100,,,,,
